River delta,Historical,Present-day
Nooksack,6.7,8.5
Lummi,14,13
Samish,nan,15
Sakgit,nan,55
Stillaguamish,nan,20
Snohomish,13,8.8
Duwamish,8.5,0
Puyallup,7.4,0.1
Nisqually,7.4,5.8
Skokomish,5.0,4.5
Dungeness,5.9,6.0
